OrderNo,Order ID,Order Date,Customer ID,Product ID,Quantity
90,VMT-10030-889,2021-12-15,87602-55754-VN,A-L-1,6
91,NHL-11063-100,2020-05-20,39181-35745-WH,A-L-1,4
92,ROV-87448-086,2020-11-02,30381-64762-NG,A-M-2.5,4
93,DGY-35773-612,2020-07-25,17503-27693-ZH,E-L-1,3
94,YWH-50638-556,2019-03-14,89442-35633-HJ,E-L-0.5,4
95,ISL-11200-600,2020-07-02,13654-85265-IL,A-D-0.2,6
96,LBZ-75997-047,2019-12-17,40946-22090-FP,A-M-2.5,6
97,EUH-08089-954,2020-12-06,29050-93691-TS,A-D-0.2,2
98,BLD-12227-251,2021-03-04,64395-74865-WF,A-M-0.5,2
99,OPY-30711-853,2021-07-17,81861-66046-SU,A-D-0.2,1
100,DBC-44122-300,2020-11-04,13366-78506-KP,L-M-0.2,3
101,FJQ-60035-234,2021-04-05,08847-29858-HN,A-L-0.2,2
102,HSF-66926-425,2020-03-01,00539-42510-RY,L-D-2.5,5
103,LQG-41416-375,2021-10-19,45190-08727-NV,L-D-1,3
104,VZO-97265-841,2022-07-08,87049-37901-FU,R-M-0.2,4
105,MOR-12987-399,2019-08-17,34015-31593-JC,L-M-1,6
106,UOA-23786-489,2020-05-31,90305-50099-SV,A-M-0.5,6
107,AJL-52941-018,2020-05-05,55871-61935-MF,E-D-1,2
108,XSZ-84273-421,2019-04-14,15405-60469-TM,R-M-0.5,3
109,NUN-48214-216,2020-07-29,06953-94794-FB,A-M-0.5,4
110,AKV-93064-769,2019-12-12,22305-40299-CY,L-D-0.5,1
111,BRB-40903-533,2022-06-15,09020-56774-GU,E-L-0.2,3
112,GPR-19973-483,2019-06-26,92926-08470-YS,R-D-0.5,5
113,XIY-43041-882,2021-10-12,07250-63194-JO,A-M-1,1
114,YGY-98425-969,2019-04-01,63787-96257-TQ,L-M-1,1
115,MSB-08397-648,2021-03-10,49530-25460-RW,R-L-0.2,4
116,WDR-06028-345,2019-08-16,66508-21373-OQ,L-L-1,1
117,MXM-42948-061,2020-08-11,20203-03950-FY,L-L-0.2,4
118,MGQ-98961-173,2022-04-05,83895-90735-XH,L-L-0.5,4
119,RFH-64349-897,2019-10-22,61954-61462-RJ,E-D-0.5,3
120,TKL-20738-660,2021-10-02,47939-53158-LS,E-M-0.2,1
121,TKL-20738-660,2021-10-02,47939-53158-LS,A-L-0.2,1
122,TKL-20738-660,2021-10-02,47939-53158-LS,E-M-1,5
123,GOW-03198-575,2021-03-13,61513-27752-FA,A-D-0.5,4
124,QJB-90477-635,2022-06-12,89714-19856-WX,L-L-2.5,4
125,MWP-46239-785,2019-04-27,87979-56781-YV,L-M-0.2,5
126,QDV-03406-248,2019-05-23,74126-88836-KA,L-M-0.5,3
127,GPH-40635-105,2020-07-14,37397-05992-VO,A-M-1,1
128,JOM-80930-071,2021-11-10,54904-18397-UD,L-D-1,6
129,OIL-26493-755,2021-08-31,19017-95853-EK,A-M-0.5,1
130,CYV-13426-645,2019-07-06,88593-59934-VU,E-D-1,1
131,WRP-39846-614,2022-03-04,47493-68564-YM,A-L-2.5,5
132,VDZ-76673-968,2020-12-31,82246-82543-DW,E-D-0.5,2
133,VTV-03546-175,2020-07-31,03384-62101-IY,A-L-2.5,5
134,GHR-72274-715,2021-05-24,86881-41559-OR,L-D-1,1
135,ZGK-97262-313,2022-07-16,02536-18494-AQ,E-M-2.5,3
136,ZFS-30776-804,2021-02-05,58638-01029-CB,A-L-0.5,5
137,QUU-91729-492,2021-07-29,90312-11148-LA,A-D-0.2,4
138,PVI-72795-960,2022-03-17,68239-74809-TF,E-L-2.5,3
139,PPP-78935-365,2021-02-11,91074-60023-IP,E-D-1,4
140,JUO-34131-517,2019-02-13,07972-83748-JI,L-D-1,6
141,ZJE-89333-489,2022-05-13,08694-57330-XR,L-D-2.5,1
142,LOO-35324-159,2020-05-19,68412-11126-YJ,A-L-0.2,4
143,JBQ-93412-846,2022-04-27,69037-66822-DW,E-L-2.5,4
144,EHX-66333-637,2020-09-09,01297-94364-XH,L-M-0.5,2
145,WXG-25759-236,2021-03-10,39919-06540-ZI,E-L-2.5,2
146,QNA-31113-984,2019-04-07,60512-78550-WS,L-M-0.2,4
147,ZWI-52029-159,2020-07-12,40172-12000-AU,L-M-1,3
148,ZWI-52029-159,2020-07-12,40172-12000-AU,E-M-1,2
149,DFS-49954-707,2021-12-21,39019-13649-CL,E-D-0.2,5
150,VYP-89830-878,2020-10-04,12715-05198-QU,A-M-2.5,2
151,AMT-40418-362,2020-08-08,04513-76520-QO,L-D-1,1
152,NFQ-23241-793,2020-10-11,88446-59251-SQ,A-M-1,3
153,JQK-64922-985,2021-11-10,23779-10274-KN,R-M-2.5,3
154,YET-17732-678,2021-06-20,57235-92842-DK,R-D-0.2,1
155,NKW-24945-846,2021-10-04,75977-30364-AY,A-D-2.5,5
156,VKA-82720-513,2019-06-24,12299-30914-NG,A-M-2.5,6
157,THA-60599-417,2019-10-26,59971-35626-YJ,A-M-2.5,3
158,MEK-39769-035,2021-06-27,15380-76513-PS,R-D-2.5,3
159,JAF-18294-750,2019-09-06,73564-98204-EY,R-D-2.5,6
160,TME-59627-221,2021-04-30,72282-40594-RX,L-L-2.5,6
161,UDG-65353-824,2020-01-07,17514-94165-RJ,E-M-0.5,4
162,ENQ-42923-176,2021-01-11,56248-75861-JX,A-L-0.5,3
163,CBT-55781-720,2021-11-15,97855-54761-IS,E-D-0.5,3
164,NEU-86533-016,2019-06-03,96544-91644-IT,R-D-0.2,6
165,BYU-58154-603,2020-12-17,51971-70393-QM,E-D-0.5,4
166,EHJ-05910-257,2021-02-07,06812-11924-IK,R-D-1,6
167,EIL-44855-309,2021-03-15,59741-90220-OW,R-D-0.5,5
168,HCA-87224-420,2022-08-04,62682-27930-PD,E-M-0.5,5
169,ABO-29054-365,2019-01-19,00256-19905-YG,A-M-0.5,6
170,TKN-58485-031,2022-03-23,38890-22576-UI,R-D-1,2
171,RCK-04069-371,2021-10-07,94573-61802-PH,E-L-2.5,2
172,IRJ-67095-738,2019-03-20,86447-02699-UT,E-M-2.5,2
173,VEA-31961-977,2021-12-15,51432-27169-KN,E-D-0.5,3
174,BAF-42286-205,2022-06-08,43074-00987-PB,R-M-2.5,4
175,WOR-52762-511,2019-12-14,04739-85772-QT,E-L-2.5,6
176,ZWK-03995-815,2021-04-10,28279-78469-YW,E-M-2.5,2
177,CKF-43291-846,2020-03-10,91829-99544-DS,E-L-2.5,1
178,RMW-74160-339,2020-10-16,38978-59582-JP,R-L-2.5,4
179,FMT-94584-786,2019-10-08,86504-96610-BH,A-L-1,2
180,NWT-78222-575,2019-12-31,75986-98864-EZ,A-D-0.2,1
181,EOI-02511-919,2020-03-20,66776-88682-RG,E-L-0.2,5
182,EOI-02511-919,2020-03-20,66776-88682-RG,A-D-0.5,5
183,UCT-03935-589,2021-03-29,85851-78384-DM,R-D-0.5,6
184,SBI-60013-494,2021-11-12,55232-81621-BX,E-M-0.2,2
185,QRA-73277-814,2021-07-20,80310-92912-JA,A-L-0.5,4
186,EQE-31648-909,2019-01-18,19821-05175-WZ,E-D-0.5,5
187,QOO-24615-950,2019-08-07,01338-83217-GV,R-M-2.5,3
188,WDV-73864-037,2022-03-13,66044-25298-TA,L-M-0.5,5
189,PKR-88575-066,2022-05-17,28728-47861-TZ,E-L-0.2,1
190,BWR-85735-955,2019-12-14,32638-38620-AX,L-M-1,3
191,YFX-64795-136,2020-01-15,83163-65741-IH,L-M-2.5,1
192,DDO-71442-967,2019-04-12,89422-58281-FD,L-D-0.2,5
193,ILQ-11027-588,2020-03-29,76293-30918-DQ,E-D-1,6
194,KRZ-13868-122,2022-03-24,86779-84838-EJ,E-L-1,3
195,VRM-93594-914,2021-07-21,66806-41795-MX,E-D-0.5,5
196,HXL-22497-359,2019-08-06,64875-71224-UI,A-L-1,3
197,NOP-21394-646,2021-05-23,16982-35708-BZ,E-L-0.5,6
198,NOP-21394-646,2021-05-23,16982-35708-BZ,L-D-2.5,2
199,NOP-21394-646,2021-05-23,16982-35708-BZ,L-D-2.5,3
200,NOP-21394-646,2021-05-23,16982-35708-BZ,L-L-0.5,4
201,NOP-21394-646,2021-05-23,16982-35708-BZ,E-M-1,3
202,FTV-77095-168,2021-04-08,66708-26678-QK,L-L-0.5,6
203,BOR-02906-411,2021-10-17,08743-09057-OO,L-D-2.5,6
204,WMP-68847-770,2022-02-16,37490-01572-JW,L-L-0.2,1
205,TMO-22785-872,2020-07-15,01811-60350-CU,E-M-1,6
206,TJG-73587-353,2020-02-22,24766-58139-GT,R-D-0.2,3
207,OOU-61343-455,2021-01-15,90123-70970-NY,A-M-1,2
208,RMA-08327-369,2021-01-11,93809-05424-MG,A-M-0.5,6
209,SFB-97929-779,2022-04-08,85425-33494-HQ,E-D-0.5,4
210,AUP-10128-606,2020-10-01,54387-64897-XC,A-M-0.5,1
211,YTW-40242-005,2019-10-28,01035-70465-UO,L-D-1,4
212,PRP-53390-819,2021-03-28,84260-39432-ML,E-L-0.5,6
213,GSJ-01065-125,2020-03-31,69779-40609-RS,E-D-0.2,4
214,YQU-65147-580,2022-03-26,80247-70000-HT,R-D-2.5,1
215,QPM-95832-683,2019-11-06,35058-04550-VC,L-L-1,2
216,BNQ-88920-567,2019-12-30,27226-53717-SY,L-D-0.2,6
217,PUX-47906-110,2021-10-01,02002-98725-CH,L-M-1,4
218,COL-72079-610,2020-12-09,38487-01549-MV,E-L-0.5,4
219,LBC-45686-819,2021-05-01,98573-41811-EQ,A-M-1,5
220,BLQ-03709-265,2022-08-04,72463-75685-MV,R-L-0.2,3
221,BLQ-03709-265,2022-08-04,72463-75685-MV,R-M-0.2,5
222,VFZ-91673-181,2021-11-13,10225-91535-AI,A-L-1,6
223,WKD-81956-870,2020-09-16,48090-06534-HI,L-D-0.5,3
224,TNI-91067-006,2020-10-05,80444-58185-FX,E-L-1,4
225,IZA-61469-812,2020-01-06,13561-92774-WP,L-D-2.5,4
226,PSS-22466-862,2021-05-21,11550-78378-GE,R-L-0.2,4
227,REH-56504-397,2020-02-26,90961-35603-RP,A-M-2.5,5
228,ALA-62598-016,2020-02-19,57145-03803-ZL,R-D-0.2,6
229,EYE-70374-835,2021-06-29,89115-11966-VF,R-L-0.2,5
230,CCZ-19589-212,2021-03-27,05754-41702-FG,L-M-0.2,2
231,BPT-83989-157,2021-10-27,84269-49816-ML,A-M-2.5,2
232,YFH-87456-208,2019-06-12,23600-98432-ME,L-M-0.2,2
233,JLN-14700-924,2020-06-28,79058-02767-CP,L-L-0.2,5
234,JVW-22582-137,2021-03-23,89208-74646-UK,E-M-0.2,5
235,LAA-41879-001,2022-02-10,11408-81032-UR,L-L-2.5,1
236,BRV-64870-915,2019-04-16,32070-55528-UG,L-L-2.5,5
237,RGJ-12544-083,2020-02-12,48873-84433-PN,L-D-2.5,3
238,JJX-83339-346,2022-01-02,32928-18158-OW,R-L-0.2,1
239,BIU-21970-705,2020-12-07,89711-56688-GG,R-M-2.5,2
240,ELJ-87741-745,2020-02-20,48389-71976-JB,E-L-1,4
241,SGI-48226-857,2020-06-11,84033-80762-EQ,A-M-2.5,6
242,AHV-66988-037,2020-09-08,12743-00952-KO,R-M-2.5,2
243,ISK-42066-094,2020-03-28,41505-42181-EF,E-D-1,3
244,FTC-35822-530,2020-10-10,14307-87663-KB,E-D-0.5,4
245,VSS-56247-688,2022-05-21,08360-19442-GB,L-M-2.5,4
246,HVW-25584-144,2020-04-30,93405-51204-UW,L-L-0.2,5
247,MUY-15309-209,2021-12-12,97152-03355-IW,L-D-1,3
248,VAJ-44572-469,2020-10-27,79216-73157-TE,R-L-0.2,6
249,YJU-84377-606,2020-07-07,20259-47723-AC,A-D-1,1
250,VNC-93921-469,2020-01-31,04666-71569-RI,L-L-1,1
251,OGB-91614-810,2020-02-18,08909-77713-CG,R-M-0.2,1
252,BQI-61647-496,2021-06-13,84340-73931-VV,E-M-1,5
253,IOM-51636-823,2022-08-06,04609-95151-XH,A-D-1,3
254,GGD-38107-641,2021-11-23,99562-88650-YF,L-M-1,4
255,LTO-95975-728,2021-10-13,46560-73885-PJ,R-L-0.5,4
256,IGM-84664-265,2021-08-31,80179-44620-WN,R-L-0.5,3
257,SKO-45740-621,2020-01-16,04666-71569-RI,L-M-0.5,2
258,FOJ-02234-063,2022-04-25,59081-87231-VP,E-D-2.5,1
259,MSJ-11909-468,2021-11-13,07878-45872-CC,E-D-2.5,5
260,DKB-78053-329,2021-06-08,12444-05174-OO,R-M-0.2,2
261,DFZ-45083-941,2020-11-21,34665-62561-AU,R-L-2.5,1
262,OTA-40969-710,2019-03-14,77877-11993-QH,R-L-1,5
263,GRH-45571-667,2019-08-16,32291-18308-YZ,E-M-1,3
264,NXV-05302-067,2019-04-22,25754-33191-ZI,L-M-2.5,4
265,VZH-86274-142,2022-05-02,53120-45532-KL,R-L-1,5
266,KIX-93248-135,2020-02-11,36605-83052-WB,A-D-0.5,1
267,AXR-10962-010,2021-03-28,53683-35977-KI,E-D-1,2
268,IHS-71573-008,2021-05-08,07972-83134-NM,E-D-0.2,6
269,QTR-19001-114,2019-11-21,01035-70465-UO,A-D-1,2
270,WBK-62297-910,2021-05-17,25514-23938-IQ,A-D-0.2,2
271,OGY-19377-175,2019-07-09,49084-44492-OJ,E-D-0.5,1
272,ESR-66651-814,2020-05-20,76624-72205-CK,A-D-0.2,4
273,CPX-46916-770,2021-08-27,12729-50170-JE,R-L-1,6
274,MDC-03318-645,2022-04-30,43974-44760-QI,A-L-0.2,2
275,SFF-86059-407,2020-06-03,30585-48726-BK,A-M-2.5,1
276,SCL-94540-788,2022-06-13,16123-07017-TY,E-L-2.5,6
277,HVU-21634-076,2020-06-10,27723-45097-MH,R-L-2.5,4
278,XUS-73326-418,2020-12-18,37078-56703-AF,E-L-1,6
279,XWD-18933-006,2019-08-31,79420-11075-MY,A-L-0.2,2
280,HPD-65272-772,2019-02-25,57504-13456-UO,L-M-2.5,1
281,JEG-93140-224,2021-02-07,53751-57560-CN,E-M-0.5,5
282,NNH-62058-950,2021-01-14,96112-42558-EA,E-L-1,4
283,LTD-71429-845,2019-02-24,03157-23165-UB,A-L-0.5,1
284,MPV-26985-215,2019-06-23,51466-52850-AG,R-D-0.5,1
285,IYO-10245-081,2020-05-09,57145-31023-FK,E-M-2.5,3
286,BYZ-39669-954,2020-07-18,66408-53777-VE,L-L-2.5,1
287,EFB-72860-209,2019-10-17,53035-99701-WG,A-M-0.2,4
288,GMM-72397-378,2022-05-16,45899-92796-EI,R-L-0.2,4
289,LYP-52345-883,2021-03-24,17649-28133-PY,E-M-0.5,1
290,DFK-35846-692,2019-11-03,49612-33852-CN,R-D-0.2,5
291,XAH-93337-609,2021-10-28,66976-43829-YG,A-D-1,5
292,QKA-72582-644,2020-12-16,64852-04619-XZ,E-M-0.5,2
293,ZDK-84567-102,2021-11-29,58690-31815-VY,A-D-0.5,3
294,WAV-38301-984,2021-03-20,62863-81239-DT,A-D-0.5,5
295,KZR-33023-209,2022-04-08,21177-40725-CF,E-L-1,3
296,ULM-49433-003,2020-08-14,99421-80253-UI,E-M-1,2
297,SIB-83254-136,2019-05-12,45315-50206-DK,R-M-0.5,6
298,NOK-50349-551,2021-03-03,09595-95726-OV,R-D-0.5,3
299,YIS-96268-844,2020-02-11,60221-67036-TD,E-L-0.2,6
300,CXI-04933-855,2019-04-27,62923-29397-KX,E-L-2.5,6
301,IZU-90429-382,2022-03-26,33011-52383-BA,A-L-1,3
302,WIT-40912-783,2020-09-28,86768-91598-FA,L-D-0.2,4
303,PSD-57291-590,2019-10-24,37191-12203-MX,A-M-0.5,1
304,GOI-41472-677,2021-08-04,16545-76328-JY,E-D-2.5,4
305,KTX-17944-494,2019-12-29,74330-29286-RO,A-L-0.2,1
306,RDM-99811-230,2019-11-27,22349-47389-GY,L-M-0.2,5
307,JTU-55897-581,2020-02-29,70290-38099-GB,R-M-0.2,5
308,CRK-07584-240,2021-01-31,18741-72071-PP,A-M-1,3
309,MKE-75518-399,2022-06-17,62588-82624-II,A-M-1,3
310,AEL-51169-725,2020-02-03,37430-29579-HD,L-M-0.2,6
311,ZGM-83108-823,2022-01-25,84132-22322-QT,E-L-1,1
312,JBP-78754-392,2020-04-30,74330-29286-RO,E-M-2.5,6
313,RNH-54912-747,2021-05-01,37445-17791-NQ,R-M-0.5,1
314,JDS-33440-914,2021-10-28,58511-10548-ZU,R-M-1,3
315,SYX-48878-182,2021-08-29,47725-34771-FJ,R-D-1,5
316,ZGD-94763-868,2019-12-27,53086-67334-KT,E-L-2.5,1
317,CZY-70361-485,2019-06-25,83308-82257-UN,E-L-2.5,6
318,RJR-12175-899,2019-03-02,37274-08534-FM,E-D-0.5,3
319,ELB-07929-407,2022-01-02,54004-04664-AA,A-M-2.5,2
320,UJQ-54441-340,2019-07-30,26822-19510-SD,E-M-0.2,2
321,UJQ-54441-340,2019-07-30,26822-19510-SD,A-L-0.2,5
322,OWY-43108-475,2020-12-05,06432-73165-ML,A-M-0.2,6
323,GNO-91911-159,2020-12-17,96503-31833-CW,L-D-0.5,3
324,CNY-06284-066,2021-06-26,63985-64148-MG,E-D-0.2,5
325,OQS-46321-904,2019-07-20,19597-91185-CM,E-M-1,1
326,IBW-87442-480,2022-07-14,79814-23626-JR,A-L-2.5,1
327,DGZ-82537-477,2020-08-14,43439-94003-DW,R-D-1,5
328,LPS-39089-432,2019-04-24,97655-45555-LI,R-D-1,5
329,MQU-86100-929,2019-06-04,64418-01720-VW,L-L-0.5,4
330,XUR-14132-391,2022-08-08,96836-09258-RI,R-D-0.5,4
331,OVI-27064-381,2019-11-13,37274-08534-FM,R-D-0.5,3
332,SHP-17012-870,2020-06-07,69529-07533-CV,R-M-2.5,1
333,FDY-03414-903,2019-08-12,94840-49457-UD,A-D-0.5,3
334,WXT-85291-143,2019-09-04,81414-81273-DK,R-M-0.5,4
335,QNP-18893-547,2019-10-04,76930-61689-CH,R-L-1,5
336,DOH-92927-530,2020-02-24,12839-56537-TQ,L-L-0.2,6
337,HGJ-82768-173,2021-08-26,62741-01322-HU,A-M-1,4
338,YPT-95383-088,2021-10-03,43439-94003-DW,E-D-2.5,2
339,OYH-16533-767,2020-06-13,44932-34838-RM,E-L-1,4
340,DWW-28642-549,2021-03-01,91181-19412-RQ,E-D-0.2,2
341,CGO-79583-871,2019-03-04,37182-54930-XC,E-D-0.5,1
342,TFY-52090-386,2019-10-13,08613-17327-XT,E-L-0.5,2
343,TFY-52090-386,2019-10-13,08613-17327-XT,L-D-0.5,5
344,NYY-73968-094,2019-08-15,70451-38048-AH,R-D-0.5,6
345,QEY-71761-460,2021-11-29,35442-75769-PL,R-M-1,2
346,GKQ-82603-910,2020-01-19,83737-56117-JE,R-L-1,5
347,IOB-32673-745,2021-05-28,07095-81281-NJ,A-L-0.5,3
348,YAU-98893-150,2022-01-15,77043-48851-HG,L-M-1,3
349,XNM-14163-951,2019-12-04,78224-60622-KH,E-L-2.5,6
350,JPB-45297-000,2022-07-01,83105-86631-IU,R-L-0.2,4
351,MOU-74341-266,2019-05-07,99358-65399-TC,A-D-0.5,4
352,DHJ-87461-571,2020-08-23,94525-76037-JP,A-M-1,2
353,DKM-97676-850,2020-06-02,43439-94003-DW,E-D-0.5,5
354,UEB-09112-118,2020-01-30,82718-93677-XO,A-M-0.5,4
355,ORZ-67699-748,2020-02-15,44708-78241-DF,A-M-2.5,6
356,JXP-28398-485,2021-06-11,23039-93032-FN,A-D-2.5,5
357,WWH-92259-198,2022-03-11,35256-12529-FT,L-D-1,4
358,FLR-82914-153,2021-09-09,86100-33488-WP,A-M-2.5,6
359,AMB-93600-000,2019-05-14,64435-53100-WM,A-L-2.5,1
360,FEP-36895-658,2019-04-08,44699-43836-UH,R-L-0.2,6
361,RXW-91413-276,2020-08-15,29588-35679-RG,R-D-2.5,2
362,RXW-91413-276,2020-08-15,29588-35679-RG,R-M-0.5,1
363,SDB-77492-188,2022-05-05,64815-54078-HH,E-L-1,5
364,RZN-65182-395,2021-03-27,59572-41990-XY,L-M-1,6
365,HDQ-86094-507,2019-04-27,32481-61533-ZJ,E-D-1,6
366,YXO-79631-417,2021-09-25,31587-92570-HL,L-D-0.5,1
367,SNF-57032-096,2020-02-13,93832-04799-ID,E-D-0.5,6
368,DGL-29648-995,2021-07-16,59367-30821-ZQ,L-M-0.2,2
369,GPU-65651-504,2022-05-11,83947-45528-ET,E-M-2.5,2
370,OJU-34452-896,2019-02-04,60799-92593-CX,E-L-0.5,1
371,GZS-50547-887,2019-02-05,61600-55136-UM,E-D-1,2
372,ESR-54041-053,2022-05-24,59771-90302-OF,A-L-0.5,6
373,OGD-10781-526,2020-10-04,16880-78077-FB,R-L-0.5,6
374,FVH-29271-315,2022-06-30,74415-50873-FC,A-D-0.5,3
375,BNZ-20544-633,2020-10-21,31798-95707-NR,L-L-0.5,4
376,FUX-85791-078,2020-10-16,59122-08794-WT,A-M-0.2,2
377,YXP-20078-116,2020-09-23,37238-52421-JJ,R-M-0.5,1
378,VQV-59984-866,2019-03-08,48854-01899-FN,R-D-0.2,3
